ID_LAT_LON_YEAR_WEEK,emission
ID_-23.53_27.47_2019_1,7.2770514
ID_-23.53_27.47_2019_2,8.007499
ID_-23.53_27.47_2019_3,7.9186764
ID_-23.53_27.47_2019_4,6.856467
ID_-23.53_27.47_2019_5,7.204784
ID_-23.53_27.47_2019_6,7.580342
ID_-23.53_27.47_2019_7,7.8418937
ID_-23.53_27.47_2019_8,8.03648
ID_-23.53_27.47_2019_9,7.8310723
ID_-23.53_27.47_2019_10,7.759635
ID_-23.53_27.47_2019_11,7.770839
ID_-23.53_27.47_2019_12,7.443558
ID_-23.53_27.47_2019_13,8.062489
ID_-23.53_27.47_2019_14,7.492751
ID_-23.53_27.47_2019_15,7.2215776
ID_-23.53_27.47_2019_16,8.003795
ID_-23.53_27.47_2019_17,8.076029
ID_-23.53_27.47_2019_18,7.7549553
ID_-23.53_27.47_2019_19,8.119603
ID_-23.53_27.47_2019_20,7.5384912
ID_-23.53_27.47_2019_21,7.9607177
ID_-23.53_27.47_2019_22,7.9184093
ID_-23.53_27.47_2019_23,7.9008965
ID_-23.53_27.47_2019_24,8.180341
ID_-23.53_27.47_2019_25,8.006008
ID_-23.53_27.47_2019_26,8.018735
ID_-23.53_27.47_2019_27,7.6603103
ID_-23.53_27.47_2019_28,8.541367
ID_-23.53_27.47_2019_29,8.054588
ID_-23.53_27.47_2019_30,8.303128
ID_-23.53_27.47_2019_31,8.263423
ID_-23.53_27.47_2019_32,7.782645
ID_-23.53_27.47_2019_33,8.181106
ID_-23.53_27.47_2019_34,8.104736
ID_-23.53_27.47_2019_35,7.7296505
ID_-23.53_27.47_2019_36,7.7564554
ID_-23.53_27.47_2019_37,8.196314
ID_-23.53_27.47_2019_38,7.4059176
ID_-23.53_27.47_2019_39,7.582338
ID_-23.53_27.47_2019_40,8.1580105
ID_-23.53_27.47_2019_41,7.109593
ID_-23.53_27.47_2019_42,7.6922956
ID_-23.53_27.47_2019_43,7.4329634
ID_-23.53_27.47_2019_44,7.5839953
ID_-23.53_27.47_2019_45,7.360571
ID_-23.53_27.47_2019_46,7.611335
ID_-23.53_27.47_2019_47,7.5385127
ID_-23.53_27.47_2019_48,7.6712546
ID_-23.53_27.47_2019_49,7.6798315
ID_-23.53_27.47_2019_50,7.4459753
ID_-23.53_27.47_2019_51,7.503451
ID_-23.53_27.47_2019_52,7.812973
ID_-23.53_27.47_2020_1,7.0012517
ID_-23.53_27.47_2020_2,6.860981
ID_-23.53_27.47_2020_3,7.0724926
ID_-23.53_27.47_2020_4,7.07642
ID_-23.53_27.47_2020_5,7.343638
ID_-23.53_27.47_2020_6,7.6200385
ID_-23.53_27.47_2020_7,7.7929554
ID_-23.53_27.47_2020_8,7.751484
ID_-23.53_27.47_2020_9,7.533803
ID_-23.53_27.47_2020_10,8.08981
ID_-23.53_27.47_2020_11,7.19135
ID_-23.53_27.47_2020_12,7.6011815
ID_-23.53_27.47_2020_13,7.3771667
ID_-23.53_27.47_2020_14,7.556904
ID_-23.53_27.47_2020_15,6.851943
ID_-23.53_27.47_2020_16,7.4002666
ID_-23.53_27.47_2020_17,7.7986245
ID_-23.53_27.47_2020_18,7.454227
ID_-23.53_27.47_2020_19,7.5032115
ID_-23.53_27.47_2020_20,7.347977
ID_-23.53_27.47_2020_21,7.7787147
ID_-23.53_27.47_2020_22,7.836849
ID_-23.53_27.47_2020_23,7.711885
ID_-23.53_27.47_2020_24,7.477266
ID_-23.53_27.47_2020_25,8.193234
ID_-23.53_27.47_2020_26,7.3546753
ID_-23.53_27.47_2020_27,7.6472096
ID_-23.53_27.47_2020_28,7.5889964
ID_-23.53_27.47_2020_29,7.824262
ID_-23.53_27.47_2020_30,8.054903
ID_-23.53_27.47_2020_31,7.2692356
ID_-23.53_27.47_2020_32,7.302749
ID_-23.53_27.47_2020_33,8.215173
ID_-23.53_27.47_2020_34,7.924913
ID_-23.53_27.47_2020_35,7.928071
ID_-23.53_27.47_2020_36,7.7756414
ID_-23.53_27.47_2020_37,7.336741
ID_-23.53_27.47_2020_38,7.368409
ID_-23.53_27.47_2020_39,7.6307445
ID_-23.53_27.47_2020_40,7.640025
ID_-23.53_27.47_2020_41,7.7618294
ID_-23.53_27.47_2020_42,7.3909893
ID_-23.53_27.47_2020_43,7.052635
ID_-23.53_27.47_2020_44,7.536195
ID_-23.53_27.47_2020_45,7.672065
ID_-23.53_27.47_2020_46,7.6089206
ID_-23.53_27.47_2020_47,6.8193974
ID_-23.53_27.47_2020_48,7.3098288
ID_-23.53_27.47_2020_49,7.242276
ID_-23.53_27.47_2020_50,7.733709
